"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Jorge Villafaña","POR","2014","FB","1719","0.26","-0.11","0.25","0.22","-0.34","-0.18","0.09"
"","Pablo Bonilla","POR","2023","FB","83","0.00","-0.01","0.13","-0.01","-0.01","-0.01","0.09"
"","Juan Mosquera","POR","2022","FB","218","0.12","0.02","0.09","-0.14","-0.01","0.00","0.08"
"","David Ayala","POR","2025","CM","51","-0.01","0.00","0.15","-0.02","-0.02","-0.01","0.08"
"","David Ayala","POR","2023","CM","176","0.02","-0.00","0.06","-0.09","0.03","0.05","0.08"
"","Jack Jewsbury","POR","2014","FB","1499","-0.09","0.08","0.05","0.22","-0.11","-0.09","0.07"
"","Cristhian Paredes","POR","2025","CM","30","-0.01","0.03","0.11","-0.03","-0.01","-0.01","0.07"
"","David Ayala","POR","2024","DM","1664","0.03","-0.06","0.30","0.30","-0.42","-0.08","0.06"
"","Jeanderson","POR","2015","FB","101","0.04","-0.01","0.06","0.08","-0.07","-0.04","0.06"
"","Victor Arboleda","POR","2017","W","72","0.10","-0.01","0.01","-0.18","0.07","0.06","0.06"
"","Steven Taylor","POR","2016","CB","881","-0.28","0.10","0.40","-0.20","0.04","-0.01","0.05"
"","David Horst","POR","2013","CB","114","0.00","0.25","-0.13","-0.05","-0.02","-0.01","0.04"
"","Michael Nanchoff","POR","2014","W","98","0.14","-0.02","-0.00","-0.05","-0.06","0.02","0.03"
"","Jack Barmby","POR","2017","W","145","0.04","-0.03","0.00","0.07","-0.05","0.01","0.03"
"","Larrys Mabiala","POR","2024","CB","48","0.02","0.00","-0.00","0.02","-0.01","0.00","0.03"
"","Modou Jadama","POR","2018","FB","31","-0.01","0.00","0.02","-0.00","-0.01","0.03","0.03"
"","Finn Surman","POR","2024","CB","98","0.00","0.00","0.09","-0.03","-0.02","-0.01","0.03"
"","Andy Polo","POR","2021","ST","202","-0.09","-0.02","0.21","0.25","-0.23","-0.11","0.02"
"","Gbenga Arokoyo","POR","2016","CB","27","0.00","0.00","0.02","0.01","-0.01","-0.00","0.02"
"","Sawyer Jura","POR","2024","FB","13","0.00","0.01","-0.00","0.01","-0.00","-0.00","0.01"
"","Michael Nanchoff","POR","2015","W","41","0.03","-0.05","0.01","0.00","-0.02","0.03","0.01"
"","Amobi Okugo","POR","2016","CB","253","0.02","-0.02","0.07","0.10","-0.11","-0.05","0.01"
"","Ian Smith","POR","2025","CB","30","0.00","0.00","0.00","0.00","-0.01","-0.00","0.00"
"","Diego Gutiérrez","POR","2022","ST","9","0.02","-0.00","0.01","-0.00","-0.01","-0.01","0.00"
"","Sal Zizzo","POR","2013","FB","307","0.02","0.03","0.15","-0.11","-0.11","0.01","0.00"
"","Ismaila Jome","POR","2021","FB","11","-0.01","0.00","0.01","0.00","-0.00","-0.00","0.00"
"","Marvin Loría","POR","2024","AM","1","-0.00","-0.00","-0.00","-0.00","-0.00","-0.00","-0.00"
"","Danny O'Rourke","POR","2014","CB","1059","-0.00","-0.05","0.36","0.03","-0.22","-0.12","-0.01"
"","Neco Brett","POR","2016","ST","2","0.00","-0.00","-0.00","-0.01","0.00","-0.00","-0.01"
"","Brad Ring","POR","2013","CM","3","-0.00","0.00","-0.00","-0.00","-0.00","-0.00","-0.01"
"","Vytautas Andriuskevicius","POR","2018","FB","39","0.01","-0.00","-0.00","0.00","-0.01","-0.00","-0.01"
"","Jimer Fory","POR","2025","FB","102","0.01","0.01","-0.05","0.01","-0.00","0.02","-0.01"
"","Bill Tuiloma","POR","2018","CB","795","0.11","0.05","-0.09","-0.14","-0.04","0.10","-0.01"
"","Roy Miller","POR","2017","CB","2470","-0.43","-0.04","0.41","-0.14","0.29","-0.11","-0.01"
"","Adolfo Enriquez","POR","2024","AM","10","-0.01","-0.00","0.00","0.01","-0.01","-0.01","-0.01"
"","Harold Hanson","POR","2017","W","6","-0.01","-0.00","-0.00","0.00","0.00","-0.00","-0.01"
"","Tomás Conechny","POR","2018","AM","87","-0.04","-0.01","-0.00","-0.03","0.10","-0.04","-0.02"
"","Kalif Alhassan","POR","2013","W","1444","0.31","0.00","-0.14","0.05","-0.35","0.11","-0.02"
"","Steve Zakuani","POR","2014","W","821","0.80","-0.04","-0.29","-0.25","-0.35","0.11","-0.02"
"","Eric Miller","POR","2025","FB","65","-0.01","0.00","-0.02","0.02","-0.02","-0.01","-0.03"
"","Antony","POR","2023","W","304","-0.09","-0.00","-0.11","-0.14","0.32","-0.00","-0.03"
"","George Fochive","POR","2022","CM","40","-0.01","-0.02","0.02","-0.01","-0.01","-0.01","-0.03"
"","Ariel Lassiter","POR","2025","W","10","-0.00","-0.00","-0.01","-0.02","-0.00","-0.01","-0.03"
"","Kamal Miller","POR","2025","CB","11","-0.00","-0.04","-0.00","0.01","-0.00","-0.00","-0.04"
"","Eryk Williamson","POR","2023","CM","592","0.12","0.02","0.07","-0.09","-0.05","-0.10","-0.04"
"","Michael Nanchoff","POR","2013","FB","14","-0.00","-0.03","0.00","-0.01","-0.00","-0.00","-0.04"
"","Tega Ikoba","POR","2022","ST","32","-0.01","-0.00","-0.01","-0.01","-0.00","-0.01","-0.04"
"","Julio Cascante","POR","2020","CB","441","0.07","0.03","-0.29","0.02","0.08","0.05","-0.05"
"","Ishmael Yartey","POR","2015","W","248","0.27","-0.02","-0.04","-0.10","-0.15","-0.01","-0.05"
"","Chance Myers","POR","2017","FB","46","-0.01","0.00","-0.03","-0.00","-0.01","-0.01","-0.05"
"","Renzo Zambrano","POR","2020","DM","111","0.03","0.00","0.03","-0.04","-0.04","-0.04","-0.06"
"","Zarek Valentin","POR","2018","FB","2988","-0.07","0.11","-0.21","0.82","-0.50","-0.20","-0.06"
"","Frédéric Piquionne","POR","2014","DM","24","0.01","-0.00","-0.04","0.00","-0.03","-0.01","-0.06"
"","Zac McGraw","POR","2022","CB","1225","-0.11","0.02","0.29","-0.29","-0.02","0.04","-0.07"
"","Victor Arboleda","POR","2018","ST","35","0.01","-0.01","-0.01","0.01","-0.06","-0.03","-0.08"
"","Jaroslaw Niezgoda","POR","2020","ST","682","0.32","-0.10","-0.10","-0.24","0.10","-0.05","-0.08"
"","Miguel Araujo","POR","2023","CB","186","-0.00","0.01","0.02","-0.01","-0.06","-0.04","-0.08"
"","Blake Bodily","POR","2022","ST","30","-0.00","-0.01","-0.01","-0.02","-0.03","-0.02","-0.09"
"","Renzo Zambrano","POR","2019","DM","869","0.00","-0.06","0.26","-0.03","-0.13","-0.14","-0.09"
"","Jeremy Ebobisse","POR","2021","ST","1042","0.03","0.15","-0.08","-0.48","0.41","-0.13","-0.09"
"","Felipe Mora","POR","2025","ST","37","-0.01","0.00","-0.01","0.02","-0.07","-0.03","-0.09"
"","Tega Ikoba","POR","2024","ST","16","-0.07","-0.00","-0.01","-0.02","0.01","-0.01","-0.09"
"","Michael Harrington","POR","2014","FB","1896","0.00","-0.08","0.26","0.40","-0.45","-0.23","-0.09"
"","Mikael Silvestre","POR","2013","CB","748","-0.05","0.00","-0.32","0.31","0.02","-0.05","-0.10"
"","Dairon Asprilla","POR","2016","W","526","-0.14","0.06","0.25","-0.21","-0.15","0.09","-0.10"
"","Larrys Mabiala","POR","2021","CB","2055","0.04","-0.01","0.30","0.00","-0.21","-0.23","-0.12"
"","David Pereira Da Costa","POR","2025","W","51","-0.02","-0.00","-0.01","-0.03","-0.05","-0.01","-0.12"
"","Rauwshan McKenzie","POR","2013","CB","99","-0.02","-0.00","-0.07","-0.00","-0.02","-0.01","-0.12"
"","Victor Griffith","POR","2023","CM","97","-0.00","-0.00","-0.01","-0.05","-0.03","-0.03","-0.12"
"","Vytautas Andriuskevicius","POR","2017","FB","1935","-0.12","0.03","0.05","0.16","-0.19","-0.06","-0.14"
"","Marco Farfan","POR","2017","FB","442","-0.08","-0.01","0.11","-0.03","-0.08","-0.06","-0.14"
"","Jermaine Taylor","POR","2016","CB","2007","-0.30","-0.19","0.51","0.18","-0.26","-0.08","-0.14"
"","Maximiliano Urruti","POR","2014","ST","1270","-0.05","-0.07","0.07","-0.55","-0.03","0.48","-0.14"
"","Diego Chara","POR","2025","CM","102","-0.00","-0.04","0.03","-0.08","-0.03","-0.03","-0.14"
"","Foster Langsdorf","POR","2019","ST","38","-0.06","-0.00","-0.02","-0.01","-0.03","-0.02","-0.15"
"","Finn Surman","POR","2025","CB","72","0.01","0.01","-0.12","-0.02","-0.02","-0.01","-0.15"
"","Pa Modou Kah","POR","2014","CB","1852","0.21","-0.22","-0.13","0.44","-0.39","-0.07","-0.15"
"","Liam Ridgewell","POR","2014","CB","1467","0.10","-0.15","-0.42","-0.15","0.42","0.04","-0.17"
"","Antony","POR","2025","W","92","-0.07","-0.01","0.02","-0.04","-0.08","-0.00","-0.17"
"","Modou Jadama","POR","2019","FB","101","-0.01","-0.03","-0.06","-0.04","-0.02","-0.01","-0.17"
"","Marco Farfan","POR","2019","FB","212","-0.00","-0.01","-0.02","-0.08","-0.04","-0.03","-0.18"
"","Jack Barmby","POR","2016","W","471","-0.17","0.18","-0.04","0.02","-0.20","0.02","-0.19"
"","Maximiliano Urruti","POR","2013","ST","327","0.07","-0.00","0.01","-0.26","0.13","-0.13","-0.20"
"","Kalif Alhassan","POR","2014","W","635","-0.09","0.03","0.07","-0.00","-0.25","0.02","-0.21"
"","Julio Ortíz","POR","2025","W","72","-0.05","-0.01","-0.04","-0.04","-0.06","-0.01","-0.21"
"","Kevin Kelsy","POR","2025","ST","102","-0.03","-0.01","-0.04","0.02","-0.13","-0.02","-0.22"
"","Taylor Peay","POR","2015","FB","348","-0.06","-0.01","0.01","-0.04","-0.10","-0.04","-0.23"
"","George Fochive","POR","2015","DM","734","0.04","-0.01","0.28","-0.28","-0.29","0.02","-0.24"
"","Pablo Bonilla","POR","2022","FB","285","-0.02","-0.02","0.01","0.03","-0.16","-0.08","-0.24"
"","Tomás Conechny","POR","2020","W","210","-0.04","-0.01","0.00","-0.13","-0.05","-0.03","-0.25"
"","Eryk Williamson","POR","2021","CM","1059","0.10","0.02","-0.32","-0.06","0.07","-0.06","-0.26"
"","Noel Caliskan","POR","2023","CM","298","-0.04","0.15","-0.13","-0.20","-0.00","-0.04","-0.26"
"","Renzo Zambrano","POR","2021","CM","662","-0.07","-0.01","0.41","-0.22","-0.28","-0.10","-0.27"
"","Nathan Fogaça","POR","2022","ST","474","-0.32","-0.06","-0.06","-0.34","0.47","0.04","-0.27"
"","Cristhian Paredes","POR","2018","CM","1522","-0.10","0.00","0.37","-0.35","-0.26","0.07","-0.27"
"","Eryk Williamson","POR","2019","CM","274","0.03","-0.03","0.03","-0.00","-0.23","-0.07","-0.27"
"","Yimmi Chará","POR","2022","W","2998","-0.03","0.08","0.35","-0.14","-0.24","-0.30","-0.28"
"","Zac McGraw","POR","2021","CB","341","-0.01","0.01","0.10","-0.47","0.02","0.05","-0.30"
"","Justin Rasmussen","POR","2022","FB","714","-0.25","0.00","-0.04","0.05","-0.05","-0.01","-0.30"
"","Jorge Villafaña","POR","2020","FB","1708","-0.11","-0.17","0.18","-0.07","-0.01","-0.12","-0.30"
"","Blake Bodily","POR","2021","ST","247","-0.04","-0.00","-0.04","-0.12","-0.08","-0.02","-0.31"
"","Marco Farfan","POR","2020","FB","943","-0.11","-0.02","0.24","-0.18","-0.18","-0.07","-0.31"
"","Diego Chara","POR","2016","DM","2827","0.32","-0.44","0.21","0.53","-0.55","-0.38","-0.32"
"","Nathan Fogaça","POR","2024","ST","285","-0.47","0.06","-0.06","-0.20","0.26","0.10","-0.32"
"","Andrés Flores","POR","2019","W","862","0.02","-0.06","0.28","-0.27","-0.21","-0.08","-0.32"
"","Diego Chara","POR","2014","DM","2931","0.71","-0.84","0.53","0.40","-0.67","-0.45","-0.32"
"","Jeremy Ebobisse","POR","2017","ST","371","-0.53","-0.02","-0.08","-0.21","0.58","-0.05","-0.33"
"","Alvas Powell","POR","2017","FB","1856","0.42","-0.25","-0.62","0.14","-0.09","0.06","-0.34"
"","David Ayala","POR","2022","CM","852","0.19","-0.09","-0.08","-0.02","-0.29","-0.06","-0.34"
"","Larrys Mabiala","POR","2017","CB","1263","-0.14","-0.01","-0.21","-0.06","0.09","-0.03","-0.35"
"","Amobi Okugo","POR","2017","CB","447","-0.04","-0.07","0.05","-0.02","-0.14","-0.13","-0.35"
"","Zac McGraw","POR","2025","CB","102","-0.02","0.01","-0.24","-0.07","-0.02","-0.01","-0.35"
"","Dario Zuparic","POR","2024","CB","2533","0.04","0.12","-0.06","0.03","-0.43","-0.05","-0.36"
"","David Guzmán","POR","2019","DM","372","-0.13","-0.04","-0.17","-0.19","0.15","0.02","-0.36"
"","Will Johnson","POR","2015","DM","1113","-0.01","0.06","-0.10","-0.28","-0.14","0.10","-0.37"
"","Samuel Armenteros","POR","2018","ST","1726","0.18","-0.16","0.03","-0.26","-0.08","-0.08","-0.37"
"","Bryan Acosta","POR","2023","DM","519","-0.11","0.08","-0.09","0.04","-0.19","-0.12","-0.40"
"","Futty Danso","POR","2013","CB","1464","-0.04","0.04","-0.31","-0.08","0.16","-0.17","-0.40"
"","Lawrence Olum","POR","2018","DM","1776","-0.14","-0.00","0.34","-0.25","-0.29","-0.07","-0.41"
"","Lucas Melano","POR","2019","ST","162","-0.21","-0.03","-0.01","-0.11","0.03","-0.07","-0.41"
"","Andrés Flores","POR","2020","W","205","0.12","-0.02","-0.07","-0.20","-0.16","-0.08","-0.41"
"","Justin Rasmussen","POR","2023","FB","378","-0.23","-0.02","-0.15","0.03","0.04","-0.07","-0.41"
"","Lawrence Olum","POR","2017","CB","2315","-0.12","0.05","-0.39","0.31","-0.05","-0.21","-0.42"
"","Diego Gutiérrez","POR","2023","W","293","0.05","0.01","-0.07","-0.01","-0.28","-0.11","-0.42"
"","Larrys Mabiala","POR","2020","CB","1451","-0.38","0.08","0.13","-0.27","0.02","-0.02","-0.44"
"","Jorge Villafaña","POR","2015","FB","3135","0.00","0.06","-0.25","0.12","-0.28","-0.10","-0.46"
"","Maximiliano Urruti","POR","2015","ST","1206","-0.12","-0.40","-0.14","-0.65","0.53","0.30","-0.48"
"","Liam Ridgewell","POR","2015","CB","3085","0.13","0.25","-1.17","0.43","0.04","-0.16","-0.48"
"","Julio Cascante","POR","2019","CB","1610","-0.05","0.08","-0.34","-0.28","0.09","0.03","-0.48"
"","Ben Zemanski","POR","2017","DM","483","-0.08","0.03","-0.12","-0.13","-0.13","-0.06","-0.49"
"","Andrew Jean-Baptiste","POR","2013","CB","2340","0.12","-0.86","0.34","-0.37","0.24","0.03","-0.51"
"","Ryan Miller","POR","2013","FB","381","-0.08","0.03","-0.16","-0.08","-0.13","-0.09","-0.51"
"","Rodney Wallace","POR","2014","W","1145","-0.06","0.09","-0.11","-0.55","-0.06","0.15","-0.52"
"","Eryk Williamson","POR","2024","DM","1280","-0.28","-0.01","0.12","-0.10","-0.09","-0.17","-0.53"
"","Yimmi Chará","POR","2023","W","813","-0.07","-0.04","0.11","-0.14","-0.24","-0.17","-0.54"
"","Eric Miller","POR","2023","FB","1359","-0.16","0.03","-0.07","0.07","-0.25","-0.17","-0.55"
"","Sebastián Blanco","POR","2023","W","527","-0.06","-0.01","-0.12","0.05","-0.31","-0.11","-0.55"
"","Rauwshan McKenzie","POR","2014","CB","539","-0.12","-0.02","-0.34","-0.07","0.03","-0.03","-0.55"
"","Larrys Mabiala","POR","2022","CB","1731","-0.42","-0.05","0.51","-0.06","-0.37","-0.17","-0.55"
"","Pablo Bonilla","POR","2021","FB","1458","-0.04","0.03","0.06","-0.37","-0.15","-0.09","-0.56"
"","Dairon Asprilla","POR","2021","W","2281","-0.74","-0.23","0.31","-0.53","0.47","0.15","-0.57"
"","Cristhian Paredes","POR","2020","CM","903","0.07","-0.06","0.11","-0.35","-0.18","-0.16","-0.57"
"","Ben Zemanski","POR","2016","DM","1096","-0.03","-0.01","0.16","-0.28","-0.35","-0.06","-0.57"
"","Pablo Bonilla","POR","2020","FB","946","-0.12","0.04","-0.30","-0.01","-0.08","-0.11","-0.58"
"","Ben Zemanski","POR","2014","DM","817","-0.01","-0.28","0.14","-0.21","-0.16","-0.07","-0.59"
"","Gastón Fernández","POR","2014","ST","1688","-0.91","0.02","-0.38","-0.64","1.09","0.20","-0.62"
"","Dairon Asprilla","POR","2018","ST","784","-0.73","-0.09","-0.06","-0.29","0.38","0.16","-0.63"
"","Gastón Fernández","POR","2015","AM","801","-0.22","-0.02","-0.28","-0.03","-0.13","0.01","-0.66"
"","Ryan Johnson","POR","2013","ST","1888","-1.06","-0.05","0.09","-0.20","0.69","-0.14","-0.68"
"","Jorge Villafaña","POR","2018","FB","713","-0.25","-0.00","-0.46","0.03","0.06","-0.07","-0.70"
"","Jeremy Ebobisse","POR","2019","ST","2544","-2.03","0.08","-0.10","-0.91","2.52","-0.24","-0.70"
"","Miguel Araujo","POR","2024","CB","1785","0.09","-0.11","-0.59","-0.08","-0.04","0.01","-0.72"
"","Diego Chara","POR","2023","DM","2848","-0.38","-0.09","0.80","0.17","-0.70","-0.53","-0.72"
"","Dario Zuparic","POR","2020","CB","1770","-0.02","-0.10","-0.28","-0.20","-0.09","-0.04","-0.73"
"","Andy Polo","POR","2019","W","1183","0.24","-0.04","0.01","-0.44","-0.40","-0.10","-0.73"
"","Cristhian Paredes","POR","2024","DM","1562","-0.27","-0.06","0.91","-0.57","-0.50","-0.23","-0.74"
"","Marvin Loría","POR","2020","W","776","-0.13","-0.07","-0.05","-0.22","-0.31","0.04","-0.75"
"","Ned Grabavoy","POR","2016","W","735","-0.25","-0.01","-0.02","-0.19","-0.33","0.00","-0.79"
"","Liam Ridgewell","POR","2016","CB","2151","-0.25","-0.37","-0.49","0.25","0.05","-0.02","-0.82"
"","Pa Modou Kah","POR","2013","CB","1861","-0.36","-0.26","-0.19","0.25","-0.18","-0.09","-0.83"
"","Marco Farfan","POR","2018","FB","573","-0.36","-0.02","0.02","-0.14","-0.22","-0.12","-0.84"
"","Juan Mosquera","POR","2024","FB","3101","0.40","0.13","-1.37","-0.05","0.14","-0.11","-0.86"
"","Dairon Asprilla","POR","2024","ST","818","-0.25","-0.10","0.02","-0.23","-0.16","-0.15","-0.87"
"","Zac McGraw","POR","2024","CB","988","-0.27","0.06","-0.40","-0.12","-0.07","-0.06","-0.87"
"","Jack Jewsbury","POR","2015","DM","1866","-0.05","-0.31","0.24","-0.20","-0.52","-0.04","-0.88"
"","Marvin Loría","POR","2021","W","1233","-0.38","0.04","-0.09","0.25","-0.61","-0.09","-0.88"
"","George Fochive","POR","2021","DM","1169","-0.13","0.14","-0.13","-0.58","-0.32","0.12","-0.90"
"","Ben Zemanski","POR","2013","CM","1134","0.17","-0.07","-0.50","0.48","-0.70","-0.33","-0.96"
"","Chris Duvall","POR","2020","FB","811","-0.04","-0.09","-0.41","-0.16","-0.19","-0.07","-0.96"
"","José Van Rankin","POR","2021","FB","2699","0.07","-0.47","0.14","-0.46","-0.13","-0.13","-0.97"
"","Nathan Fogaça","POR","2023","ST","665","-0.53","-0.13","-0.07","-0.04","-0.04","-0.19","-1.00"
"","Rodney Wallace","POR","2015","W","2113","-1.10","-0.16","0.01","-0.04","0.20","0.05","-1.03"
"","Eric Miller","POR","2024","FB","1196","-0.62","0.04","0.09","-0.31","-0.23","-0.07","-1.09"
"","Dairon Asprilla","POR","2023","W","1601","-1.02","-0.20","0.10","-0.46","0.48","-0.04","-1.13"
"","Jaroslaw Niezgoda","POR","2022","ST","2156","-0.79","-0.00","-0.03","0.33","-0.22","-0.43","-1.14"
"","Andy Polo","POR","2020","W","845","-0.09","-0.03","-0.00","-0.49","-0.40","-0.14","-1.15"
